n	k	d	fom	l	m	A	B	wt	fam	C	D
124	2	20	6.4516	31	2	x^4*y^0+x^16*y^1+x^27*y^1+x^29*y^1	x^5*y^0+x^8*y^1+x^13*y^0+x^28*y^0	8	css		
112	2	19	6.4464	8	7	x^0*y^0+x^2*y^0+x^3*y^5+x^5*y^0+x^5*y^2+x^5*y^4	x^0*y^0+x^0*y^5+x^1*y^2+x^1*y^5+x^2*y^0+x^2*y^1+x^4*y^5+x^7*y^1	14	css		
574	2	43	6.4425	41	7	x^4*y^0+x^7*y^5+x^18*y^4+x^21*y^2	x^8*y^5+x^27*y^2+x^28*y^0+x^29*y^1	8	css		
280	2	30	6.4286	4	35	x^0*y^28+x^1*y^0+x^1*y^6+x^1*y^26+x^1*y^28+x^1*y^30+x^1*y^32+x^2*y^14	x^0*y^18+x^0*y^27+x^1*y^6+x^1*y^10+x^2*y^12+x^3*y^23	14	css		
630	2	45	6.4286	9	35	x^0*y^2+x^0*y^21+x^0*y^26+x^3*y^21+x^5*y^30+x^7*y^33	x^0*y^13+x^1*y^32+x^2*y^7+x^6*y^18	10	css		
840	6	30	6.4286	42	10	x^11*y^0+x^12*y^1+x^13*y^4+x^20*y^3+x^24*y^4+x^25*y^6+x^26*y^1+x^31*y^3	x^0*y^0+x^6*y^7+x^8*y^6+x^20*y^8+x^25*y^0+x^25*y^1	14	css		
90	2	17	6.4222	5	9	x^0*y^2+x^1*y^4+x^2*y^0+x^2*y^7+x^3*y^4+x^3*y^8+x^4*y^3+x^4*y^6	x^0*y^4+x^1*y^3+x^2*y^8+x^3*y^1+x^3*y^4+x^3*y^6+x^4*y^3+x^4*y^7	16	css		
40	4	8	6.4000	4	5	x^0*y^0+x^0*y^3+x^0*y^4+x^2*y^0+x^2*y^1+x^2*y^3+x^3*y^2+x^3*y^3	x^0*y^1+x^0*y^4+x^1*y^2+x^1*y^3+x^1*y^4+x^3*y^0	14	css		
80	2	16	6.4000	8	5	x^0*y^1+x^0*y^3+x^1*y^0+x^1*y^1+x^3*y^0+x^4*y^2	x^0*y^1+x^1*y^3+x^2*y^0+x^2*y^2+x^2*y^4+x^4*y^3+x^7*y^0+x^7*y^2	14	css		
320	2	32	6.4000	4	40	x^0*y^0+x^0*y^22+x^2*y^28+x^3*y^3	x^1*y^26+x^2*y^2+x^2*y^23+x^3*y^10	8	css		
138	2	21	6.3913	3	23	x^0*y^0+x^0*y^18+x^1*y^13+x^2*y^10	x^0*y^10+x^0*y^14+x^0*y^18+x^1*y^20+x^2*y^2+x^2*y^6+x^2*y^8+x^2*y^22	12	css		
152	2	22	6.3684	4	19	x^0*y^13+x^2*y^2+x^2*y^6+x^2*y^7	x^0*y^12+x^1*y^6+x^1*y^15+x^3*y^12	8	css		
102	2	18	6.3529	17	3	x^1*y^2+x^6*y^1+x^8*y^0+x^9*y^0+x^10*y^0+x^12*y^0+x^12*y^1+x^13*y^0	x^1*y^0+x^3*y^1+x^10*y^0+x^12*y^0+x^13*y^2+x^14*y^2	14	css		
126	2	20	6.3492	7	9	x^0*y^3+x^1*y^0+x^2*y^7+x^6*y^8	x^1*y^3+x^3*y^0+x^5*y^0+x^5*y^4	8	css		
504	2	40	6.3492	7	36	x^0*y^33+x^2*y^17+x^2*y^26+x^2*y^35	x^3*y^31+x^4*y^12+x^5*y^28+x^5*y^29	8	css		
114	2	19	6.3333	19	3	x^1*y^0+x^2*y^2+x^3*y^0+x^4*y^2+x^9*y^2+x^14*y^0+x^15*y^1+x^17*y^1	x^3*y^1+x^3*y^2+x^7*y^0+x^8*y^0+x^9*y^2+x^13*y^2+x^17*y^0+x^17*y^2	16	css		
140	2	21	6.3000	14	5	x^0*y^4+x^4*y^2+x^6*y^2+x^7*y^4+x^9*y^2+x^12*y^0+x^13*y^1+x^13*y^3	x^4*y^3+x^6*y^0+x^12*y^4+x^13*y^4	12	css		
