n	k	d	fom	l	m	A	B	wt	fam	C	D
102	6	16	15.0588	17	3	x^7*y^0+x^15*y^0+x^15*y^1+x^16*y^1	x^2*y^0+x^6*y^1+x^7*y^1+x^9*y^0	8	css		
90	8	13	15.0222	3	15	x^0*y^10+x^1*y^8+x^1*y^13+x^2*y^4	x^0*y^8+x^1*y^14+x^2*y^0+x^2*y^1+x^2*y^3	9	css		
120	8	15	15.0000	3	20	x^0*y^4+x^0*y^5+x^1*y^16+x^2*y^4	x^0*y^14+x^0*y^17+x^2*y^18	7	css		
308	8	24	14.9610	14	11	x^2*y^3+x^7*y^5+x^12*y^8+x^13*y^3	x^1*y^0+x^4*y^3+x^6*y^6+x^12*y^0	8	css		
272	6	26	14.9118	8	17	x^0*y^3+x^2*y^6+x^3*y^3+x^5*y^13	x^0*y^16+x^3*y^0+x^3*y^5+x^4*y^15	8	css		
132	6	18	14.7273	11	6	x^0*y^0+x^0*y^1+x^6*y^4+x^9*y^0	x^0*y^5+x^3*y^3+x^7*y^5+x^8*y^0	8	css		
140	8	16	14.6286	7	10	x^0*y^2+x^2*y^2+x^3*y^8+x^4*y^8	x^0*y^9+x^1*y^9+x^4*y^2+x^6*y^1	8	css		
324	6	28	14.5185	6	27	x^0*y^10+x^3*y^0+x^5*y^4+x^5*y^26	x^0*y^26+x^3*y^22+x^5*y^1+x^5*y^23	8	css		
108	8	14	14.5185	18	3	x^7*y^1+x^8*y^2+x^14*y^1+x^16*y^1+x^17*y^0	x^0*y^0+x^5*y^1+x^6*y^2+x^14*y^2+x^17*y^1	10	css		
162	12	14	14.5185	3	27	x^1*y^7+x^1*y^15+x^1*y^23+x^2*y^5+x^2*y^11	x^0*y^11+x^0*y^13+x^0*y^24+x^1*y^12+x^1*y^18	10	css		
140	12	13	14.4857	35	2	x^6*y^0+x^7*y^1+x^31*y^1+x^32*y^0	x^12*y^0+x^15*y^0+x^30*y^1+x^32*y^1	8	css		
80	8	12	14.4000	2	20	x^0*y^10+x^0*y^12+x^1*y^8+x^1*y^11+x^1*y^14	x^0*y^5+x^0*y^7+x^0*y^13+x^0*y^14+x^1*y^16	10	css		
98	14	10	14.2857	7	7	x^2*y^4+x^5*y^1+x^5*y^2+x^6*y^1	x^1*y^3+x^3*y^4+x^5*y^1+x^5*y^4	8	css		
350	8	25	14.2857	7	25	x^4*y^18+x^4*y^19+x^6*y^19+x^6*y^24	x^0*y^3+x^2*y^22+x^5*y^21+x^6*y^15	8	css		
